Iteration: 6500, Cost: 5210
Iteration: 6520, Cost: 5210
Iteration: 6540, Cost: 5210
Iteration: 6560, Cost: 5210
Iteration: 6580, Cost: 5210
Iteration: 6600, Cost: 5210
Iteration: 6620, Cost: 5210
Iteration: 6640, Cost: 5210
Iteration: 6660, Cost: 5210
Iteration: 6680, Cost: 5210
Iteration: 6700, Cost: 5210
Iteration: 6720, Cost: 5210
Iteration: 6740, Cost: 5210
Iteration: 6760, Cost: 5209
Iteration: 6780, Cost: 5209
Iteration: 6800, Cost: 5209
Iteration: 6820, Cost: 5209
Iteration: 6840, Cost: 5209
Iteration: 6860, Cost: 5203
Iteration: 6880, Cost: 5203
Iteration: 6900, Cost: 5203
Iteration: 6920, Cost: 5203
Iteration: 6940, Cost: 5186
Iteration: 6960, Cost: 5186
Iteration: 6980, Cost: 5186
Iteration: 7000, Cost: 5186
Iteration: 7020, Cost: 5186
Iteration: 7040, Cost: 5186
Iteration: 7060, Cost: 5186
Iteration: 7080, Cost: 5186
Iteration: 7100, Cost: 5186
Iteration: 7120, Cost: 5170
Iteration: 7140, Cost: 5170
Iteration: 7160, Cost: 5170
Iteration: 7180, Cost: 5170
Iteration: 7200, Cost: 5157
Iteration: 7220, Cost: 5157
Iteration: 7240, Cost: 5157
Iteration: 7260, Cost: 5157
Iteration: 7280, Cost: 5157
Iteration: 7300, Cost: 5157
Iteration: 7320, Cost: 5157
Iteration: 7340, Cost: 5157
Iteration: 7360, Cost: 5157
Iteration: 7380, Cost: 5157
Iteration: 7400, Cost: 5157
Iteration: 7420, Cost: 5157
Iteration: 7440, Cost: 5157
Iteration: 7460, Cost: 5157
Iteration: 7480, Cost: 5157
Iteration: 7500, Cost: 5157
Iteration: 7520, Cost: 5157
Iteration: 7540, Cost: 5157
Iteration: 7560, Cost: 5157
Iteration: 7580, Cost: 5157
Iteration: 7600, Cost: 5139
Iteration: 7620, Cost: 5139
Iteration: 7640, Cost: 5139
Iteration: 7660, Cost: 5139
Iteration: 7680, Cost: 5139
Iteration: 7700, Cost: 5139
Iteration: 7720, Cost: 5139
Iteration: 7740, Cost: 5139
Iteration: 7760, Cost: 5139
Iteration: 7780, Cost: 5139
Iteration: 7800, Cost: 5139
Iteration: 7820, Cost: 5139
Iteration: 7840, Cost: 5138
Iteration: 7860, Cost: 5138
Iteration: 7880, Cost: 5138
Iteration: 7900, Cost: 5138
Iteration: 7920, Cost: 5138
Iteration: 7940, Cost: 5138
Iteration: 7960, Cost: 5138
Iteration: 7980, Cost: 5138
Iteration: 8000, Cost: 5138
Iteration: 8020, Cost: 5116
Iteration: 8040, Cost: 5116
Iteration: 8060, Cost: 5116
Iteration: 8080, Cost: 5116
Iteration: 8100, Cost: 5116
Iteration: 8120, Cost: 5116
Iteration: 8140, Cost: 5116
Iteration: 8160, Cost: 5116
Iteration: 8180, Cost: 5116
Iteration: 8200, Cost: 5116
Iteration: 8220, Cost: 5116
Iteration: 8240, Cost: 5116
Iteration: 8260, Cost: 5116
Iteration: 8280, Cost: 5116
Iteration: 8300, Cost: 5116
Iteration: 8320, Cost: 5116
Iteration: 8340, Cost: 5116
Iteration: 8360, Cost: 5116
Iteration: 8380, Cost: 5116
Iteration: 8400, Cost: 5116
Iteration: 8420, Cost: 5116
Iteration: 8440, Cost: 5116
Iteration: 8460, Cost: 5116
Iteration: 8480, Cost: 5116
Iteration: 8500, Cost: 5112
Iteration: 8520, Cost: 5112
Iteration: 8540, Cost: 5112
Iteration: 8560, Cost: 5112
Iteration: 8580, Cost: 5112
Iteration: 8600, Cost: 5112
Iteration: 8620, Cost: 5112
Iteration: 8640, Cost: 5112
Iteration: 8660, Cost: 5112
Iteration: 8680, Cost: 5112
Iteration: 8700, Cost: 5112
Iteration: 8720, Cost: 5112
Iteration: 8740, Cost: 5112
Iteration: 8760, Cost: 5112
Iteration: 8780, Cost: 5112
Iteration: 8800, Cost: 5112
Iteration: 8820, Cost: 5112
Iteration: 8840, Cost: 5112
Iteration: 8860, Cost: 5112
Iteration: 8880, Cost: 5112
Iteration: 8900, Cost: 5105
Iteration: 8920, Cost: 5105
Iteration: 8940, Cost: 5105
Iteration: 8960, Cost: 5105
Iteration: 8980, Cost: 5105
Iteration: 9000, Cost: 5105
Iteration: 9020, Cost: 5105
Iteration: 9040, Cost: 5105
Iteration: 9060, Cost: 5105
Iteration: 9080, Cost: 5105
Iteration: 9100, Cost: 5105
Iteration: 9120, Cost: 5105
Iteration: 9140, Cost: 5105
Iteration: 9160, Cost: 5105
Iteration: 9180, Cost: 5105
Iteration: 9200, Cost: 5105
Iteration: 9220, Cost: 5105
Iteration: 9240, Cost: 5105
Iteration: 9260, Cost: 5105
Iteration: 9280, Cost: 5105
Iteration: 9300, Cost: 5105
Iteration: 9320, Cost: 5105
Iteration: 9340, Cost: 5105
Iteration: 9360, Cost: 5105
Iteration: 9380, Cost: 5105
Iteration: 9400, Cost: 5105
Iteration: 9420, Cost: 5105
Iteration: 9440, Cost: 5105
Iteration: 9460, Cost: 5105
Iteration: 9480, Cost: 5105
Iteration: 9500, Cost: 5105
Iteration: 9520, Cost: 5105
Iteration: 9540, Cost: 5105
Iteration: 9560, Cost: 5105
Iteration: 9580, Cost: 5105
Iteration: 9600, Cost: 5105
Iteration: 9620, Cost: 5105
Iteration: 9640, Cost: 5105
Iteration: 9660, Cost: 5105
Iteration: 9680, Cost: 5105
Iteration: 9700, Cost: 5105
Iteration: 9720, Cost: 5105
Iteration: 9740, Cost: 5105
Iteration: 9760, Cost: 5105
Iteration: 9780, Cost: 5105
Iteration: 9800, Cost: 5105
Iteration: 9820, Cost: 5105
Iteration: 9840, Cost: 5105
Iteration: 9860, Cost: 5081
Iteration: 9880, Cost: 5081
Iteration: 9900, Cost: 5081
Iteration: 9920, Cost: 5081
Iteration: 9940, Cost: 5081
Iteration: 9960, Cost: 5081
Iteration: 9980, Cost: 5081
Iteration: 10000, Cost: 5081
